REGION,CODE,NAME,Count,Year,1959/1960,1974,1977,1978,1981,1986,1999,2009/2010^[b]
Northern Strait of Georgia,SG-710,Tsawwassen Ferry Terminal,3,‾1961,-,9[7],3eS,4S,7[3],-,-,4
Northern Strait of Georgia,SG-720 Tsawwassen Breakwater,,10e,1970,-,115[102],160[147],150[103],223[106],238,-,250e^[e]
Northern Strait of Georgia,SG-730 White Rock,,1S,2010,-,-,-,-,-,-,-,1S
Gulf Islands,GI-010 Ballenas Islands,,50e,1952,-,0,-,-,2eS,0,-,-
Gulf Islands,GI-015 Yeo Islands,,1S,1978,-,-,-,1S,-,-,-,-
Gulf Islands,GI-020 Ada Islands,,75,1961,-,171e,-,154[127],155[108],124,-,73[69]
Gulf Islands,GI-040 Maude Island,,2,1986,-,0,-,-,-,2,-,0
Gulf Islands,GI-045 Long Lake,,1,1986,-,-,-,-,-,1,-,-
Gulf Islands,GI-050 Five Finger Island,,x,1958,-,311[288],459[422],473[454],599[559],671,288e,9[2]
Gulf Islands,GI-060 Hudson Rocks,,x,1958,75e,248[242],259[252] 400e^[f],236[225],308[291],247,122[74],10eS
Gulf Islands,GI-070 Snake Island,,x,1947,300-500e,558[432],,615[582],719[631],673,204[44],23e
Gulf Islands,GI-076 Brandon Islands,,3S,1999,-,-,-,-,-,-,3S,-
Gulf Islands,GI-085 Nanaimo Harbour,,10e+,2005,-,-,-,-,-,-,-,-
Gulf Islands,GI-090,Gabriola Island - West Cliffs,2,1968,-,4,5,3,-,-,-,4
Gulf Islands,GI-095 Harmac - Mill,,100e+,2005,-,-,-,-,-,-,-,-
Gulf Islands,GI-100,Gabriola Island - East Cliffs,1,1977,-,-,1,-,-,-,-,-
Gulf Islands,GI-110 Carlos Island,,1,1978,-,0,-,1,-,-,-,-
Gulf Islands,GI-112 Breakwater Island,,1S+,2012,-,-,-,-,-,-,-,-
Gulf Islands,GI-130 Round Island,,5,1977,-,-,5[2],3[2],3[2],-,-,-
Gulf Islands,GI-150 Decourcy Island,,3,1977,-,-,3,2,-,2,-,0
Gulf Islands,GI-160,Valdes Island - West Cliffs,1,1977,-,0,1,1,0,-,-,-
Gulf Islands,GI-170 Ruxton Island,,2,1977,-,-,2,2,-,2,-,-
Gulf Islands,GI-171 Whaleboat Island,,1,1986,-,-,0,0,-,1,-,-
Gulf Islands,GI-180 Tree Island,,1,1977,-,-,1,2[2],-,-,-,-
Gulf Islands,GI-190 Miami Islet,,22,1968,-,52[47],43[39],32[25],26[16],38,-,5eS
Gulf Islands,GI-200 Ragged Islets,,10-20e,1961,-,103[75],126[117],130[111],89[29],69,-,28[18]
Gulf Islands,GI-210 Rose Islets,,x,1963,-,208[113],167[160],167[135],211[183],116,-,21[12]
Gulf Islands,GI-220 Canoe Islet,,x,1963,-,67[60],57[21],50[30],62[23],56,-,-
Gulf Islands,GI-230,Galiano Island - North Cliffs,4,1976,-,-,2,1,-,6,-,-
Gulf Islands,"GI-240 Preedy"" Rock""",,2,1978,-,-,-,2[1],-,-,-,-
Gulf Islands,GI-250 Augustus Point,,4e,1972,-,10,6,3,6,8,-,-
Gulf Islands,GI-260,Wallace Island,3,1974,-,3[3],12[8],10[6],7[1],3,-,-
Gulf Islands,GI-270,Tent Island,1,1972,-,3[3],16,7,15e,12,-,-
Gulf Islands,GI-280,Bare Point,1,1968,-,11,8,4e,16e,5,-,-
Gulf Islands,GI-280,Chemainus - Harbour,3,2010,-,-,-,-,-,-,-,3
Gulf Islands,GI-290,Shoal Islands,1,1974,-,1,-,1,-,-,-,-
Gulf Islands,GI-290,Crofton - Mill,20e,2016,-,-,-,-,-,-,-,-
Gulf Islands,GI-300,Cowichan Lake,1,1985,-,-,-,-,-,-,-,-
Gulf Islands,GI-310,Vesuvius Bay,4,1986,-,-,-,-,-,4,-,-
Gulf Islands,GI-320,Ballingall Islets,40,1934,57,96[96],118[116],106[105],63[30],145,-,22[6]
Gulf Islands,GI-330,Galiano Island - Central Cliffs,3-4eS,1976,-,-,1,1,-,-,-,-
Gulf Islands,GI-340,"Wise"" Rock""",1S,1977,-,-,1S,0,-,-,-,-
Gulf Islands,GI-370,Galiano Island - South Cliffs,1,1977,-,-,1,0,-,-,-,-
Gulf Islands,GI-380,Lion Islets,2,1977,-,-,2[2],2[1],-,1,-,-
Gulf Islands,GI-390,RGossipS Rock,1,1986,-,-,0,0,-,1 ‾1^[g],-,-
Gulf Islands,GI-410,RLong HarbourS Islet,3,1974,-,3[3],1,1,-,,-,-
Gulf Islands,GI-420,Chain Islands,4,1977,-,-,4,16[4],-,‾5^[g],-,-
Gulf Islands,GI-424,Hawkins Island,3,1934,-,-,0,0,-,-,-,-
Gulf Islands,GI-440,Red Islets,1S,1977,-,-,1S,1S,-,-,-,-
Gulf Islands,GI-450,Prevost Island - South Cliffs,2,1977,-,-,2,3,-,-,-,-
Gulf Islands,GI-460,Channel Islands,1,1977,-,-,1,1,-,-,-,-
Gulf Islands,GI-470,Belle Chain Islets,15,1966,-,6[6],29[23],50[43],78[46],56,-,18
Gulf Islands,GI-490,Pine Islet,4,1977,-,-,4[1],1,-,-,-,-
Gulf Islands,GI-510,East Point - Cliffs,7,1977,-,0,7,6,3,7,-,-
Gulf Islands,GI-520,Lyall Harbour - Cliffs,1,1986,-,-,0,-,-,1,-,-
