Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1986,Chrome Island,,15,3,,3,Nests,49.4721,-124.6845,,,Vermeer and Devito 1989
2010,Chrome Island,,15,3,,1,Nests,49.4721,-124.6845,,,
1974,Church Island,,16,1,,3,Pair,48.3081,-123.5882,,,Campbell 1976
1977,Church Island,,16,1,,0,Pair,48.3081,-123.5882,,,B.C. Nest Record Scheme
1977,De Courcy Island,,17,1,,3,Nests,49.1106,-123.7576,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1986,De Courcy Island,NW cliffs,17,1,,2,Nests,49.1106,-123.7576,,,Vermeer and Devito 1989
2010,De Courcy Island,NW cliffs,17,1,,0,Nests,49.1106,-123.7576,,,
1986,Denman Island,Gravelly Bay Ferry Dock,18,1,,1,Nest,49.4939,-124.7086,,,Vermeer and Devito 1989
1986,Denman Island,Gravelly Bay Ferry Dock,18,1,,1,Nest,49.4939,-124.7086,,,
1978,Dinner Islet,,19,1,,0,Birds present,49.9462,-124.7229,,"M.G and T.E Shepard, GE Colby",B.C Nest Record Scheme
1981,Dinner Islet,,19,1,,0,Birds present - 1 adult seen flushed up by Eagle,49.9462,-124.7229,,W Campbell,B.C Nest Record Scheme
2006,Dinner Islet,,19,1,,0,Pair,49.9462,-124.7229,,Rob Butler,Rob Butler pers. comm. 2009
1977,Dock Island,,,2,,48,Pair,48.6709,-123.3577,Orig est 45-50,,B.C. Nest Record Scheme
2010,Dock Island,,,2,,0,Nests,48.6709,-123.3577,,Todd Golumbia,Todd Golumbia pers. comm. 2009
1974,Eagle Harbour,,,1,,2,Pair,49.3517,-123.2711,,,Campbell 1976
1974,Fegan Islets,,,1,,2,Pair,49.5297,-124.3802,,,Campbell 1976
1986,Fegan Islets,,,1,,1,Nest,49.5297,-124.3802,,,Vermeer and Devito 1989
1974,Finnerty Islands,,,1,,10,Pair,49.5004,-124.393,,,Campbell 1976
1981,Finnerty Islands,,,1,,6,Pair,49.5004,-124.393,,R W Campbell,B.C Nest Record Scheme
1986,Finnerty Islands,,,1,,4,Nests,49.5004,-124.393,,,Vermeer and Devito 1989
1959,Five Finger Island,Outermost,,5,,5,Nests,49.2312,-123.916,,Wm. Merilees,Drent and Guiguet 1961
1968,Five Finger Island,,,5,,110,Nests,49.2312,-123.916,,R and J Drent,Campbell et al 1990
1974,Five Finger Island,,,5,,559,Pair,49.2312,-123.916,,,Campbell 1976
1977,Five Finger Island,,,5,,459,Nests,49.2312,-123.916,,,Moira Lemon
1978,Five Finger Island,,,5,,473,Nests,49.2312,-123.916,,,Moira Lemon
1980,Five Finger Island,,,5,,364,Nests,49.2312,-123.916,,,Moira Lemon
1981,Five Finger Island,,,5,,599,Nests,49.2312,-123.916,,,Moira Lemon
1986,Five Finger Island,,,5,,671,Nests,49.2312,-123.916,,,Vermeer and Devito 1989
1999,Five Finger Island,,,5,,288,Nests,49.2312,-123.916,,,Sullivan et al 2002
2010,Five Finger Island,,,5,,2,Nests,49.2312,-123.916,,,
1974,Gabriola Island,Cliffs,,1,,4,Pair,49.1548,-123.7857,,"MS Rodway, RW Campbell",Campbell 1976
1977,Gabriola Island,Cliffs,,1,,5,Nests,49.1548,-123.7857,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
2010,Gabriola Island,Cliffs,,1,,4,Nests,49.1548,-123.7857,"Rob's note said 'a few', and I noted a couple from the ferry in summer 2010 but didn't note number",R Butler,"R Butler, email 8 June 2010"
1976,Galiano Island,Cliffs NW of Gray Pen.,,1,,4,Nests,48.9059,-123.4158,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
